,date,open,high,low,close,volume,average,barCount
0,2022-09-27 06:30:00,3686.44,3695.67,3686.44,3694.12,0.0,0.0,117
1,2022-09-27 06:32:00,3694.3,3703.98,3694.3,3703.65,0.0,0.0,119
2,2022-09-27 06:34:00,3703.67,3707.64,3702.13,3705.15,0.0,0.0,117
3,2022-09-27 06:36:00,3705.38,3710.22,3703.82,3710.06,0.0,0.0,118
4,2022-09-27 06:38:00,3710.12,3711.85,3709.26,3711.64,0.0,0.0,117
5,2022-09-27 06:40:00,3711.76,3717.53,3711.76,3715.45,0.0,0.0,118
6,2022-09-27 06:42:00,3715.46,3715.46,3711.46,3711.64,0.0,0.0,116
7,2022-09-27 06:44:00,3711.59,3711.59,3705.26,3705.47,0.0,0.0,117
8,2022-09-27 06:46:00,3705.31,3709.09,3705.31,3708.48,0.0,0.0,116
9,2022-09-27 06:48:00,3708.42,3711.2,3697.09,3697.35,0.0,0.0,115
10,2022-09-27 06:50:00,3697.32,3698.26,3692.36,3696.41,0.0,0.0,117
11,2022-09-27 06:52:00,3696.65,3701.65,3696.12,3701.63,0.0,0.0,118
12,2022-09-27 06:54:00,3701.69,3703.96,3697.91,3699.05,0.0,0.0,114
13,2022-09-27 06:56:00,3698.88,3699.84,3695.53,3695.93,0.0,0.0,118
14,2022-09-27 06:58:00,3695.97,3698.83,3695.69,3698.28,0.0,0.0,115
15,2022-09-27 07:00:00,3698.34,3699.35,3685.87,3687.13,0.0,0.0,120
16,2022-09-27 07:02:00,3687.02,3687.18,3678.67,3681.83,0.0,0.0,114
17,2022-09-27 07:04:00,3681.79,3684.71,3681.64,3684.34,0.0,0.0,115
18,2022-09-27 07:06:00,3684.37,3684.68,3682.55,3682.75,0.0,0.0,114
19,2022-09-27 07:08:00,3682.31,3682.31,3673.55,3676.13,0.0,0.0,117
20,2022-09-27 07:10:00,3676.11,3684.6,3675.49,3684.0,0.0,0.0,115
21,2022-09-27 07:12:00,3683.27,3684.22,3680.88,3683.3,0.0,0.0,118
22,2022-09-27 07:14:00,3683.25,3685.29,3681.35,3682.06,0.0,0.0,116
23,2022-09-27 07:16:00,3681.99,3683.23,3679.88,3682.13,0.0,0.0,117
24,2022-09-27 07:18:00,3682.23,3687.43,3682.23,3684.87,0.0,0.0,119
25,2022-09-27 07:20:00,3685.01,3686.77,3683.59,3685.14,0.0,0.0,115
26,2022-09-27 07:22:00,3685.08,3693.4,3684.72,3691.02,0.0,0.0,118
